Тема обращения,Текст обращения,Время обращения,Имя пользователя - автора обращения,Регион составителя обращения,Текст ответа,Время ответа,Имя пользователя - автора ответа,Оценка клиента
"Сетелем - трижды подумай, прежде чем соваться","При покупке автомобиля пришлось оформить автокредит в Сетелем банке и страховку жизни в Сбербанк страхование. Настоятельно просил сотрудников автосалона, которые отправляют заявку на кредит, чтобы не было никакого страхования. Приносят расчет, а в бланке расчета даже сумма кредита не указывается! Стоимость авто есть, % ставка есть, график платежей, переплата - все есть, а суммы кредита нет. Укажите, говорю, сумму кредита. Ручкой написали.Сумма на 122тр выше, чем должна быть. Откуда, говорю, 122тр взялось? А это страхование жизни, отвечают. Ну я же просил без страхования! У этого банка есть программы без СЖ! А нам только такую согласовали - отвечают. Можем еще раз послать, но это только завтра, да может и не согласуют еще... Ладно, давайте со страховкой. Оформили. Автокредит тут же закрыл, ну и страховку, думаю, сейчас расторгну, пока период охлаждения действует. Не тут-то было, для клиентов Сетелема у СБСЖ свои условия. Документы только по почте и ждать-ждать-ждать... (Отзыв см. в разделе СБСЖ)Теперь по удобству работы с банком.Сделано все, чтобы крутить ваши деньги как можно дольше. Все операции только в рабочие дни. Большинство способов погашения - с комиссией. Наличкой заплатить без комиссии не выйдет.Мобильное приложение - это не тихий ужас, это реальный кошмар. Данные в нем обновляются раз в сутки. С онлайн-банком не синхронизируются. Например, я оставил заявление на досрочное погашение в МП, в онлайн-банке я его не увижу. И наоборот.СМС об операциях приходят на следующий день! Например, я заказал полное досрочное погашение кредита 28.09.2021, ночью оно обработалось, кредит закрылся, а 29.09.2021, т.е. на следующий день, вечером, мне приходит смс что я заказал досрочное погашение. Как же так, Сетелем? Досрочное погашение закрытого кредита?Онлайн-банк ущербен по самое небалуйся.Хочу получить справку о полном погашении кредита, пытаюсь заказать ее через сайт - нет такой формы справки. Да, и справку вы тоже только по почте можете получить.Время работы офиса в моем городе, указанное на сайте, не совпадает с реальным.Подведу итог.Банк работает в своем правовом поле. Доказать что заявку на кредит отправляли без учета страховки, а банк согласовал только со страховкой, я не могу. Что там говорят девочки в автосалоне - дело десятое, они с % живут. Если планируете брать кредит в Сетелеме, морально готовьтесь и пейте что-то для укрепления нервов. Платежи лучше вносить СИЛЬНО заранее во избежание попадания на просрочку. В период охлаждения (14 дней) можете погасить досрочно без особых проблем. После него - только с заказом за 30 дней, как прописано в договоре.Онлайн-банк - ноль, мобильное приложение - полный ноль. Подстава со страховкой. Отсутствие суммы кредита на бланке расчета. Общая оценка банку - 2",29.09.2021 15:19,Set13,Пермь (Пермский край),"Добрый день.Согласно полученной в ходе проверки информации мы выяснили, что при оформлении заявки на кредит Вам было предложено 2 варианта оформления: с условием приобретения услуги страхования и процентной ставкой 9,9%, и без учета приобретения дополнительной услуги страхований с процентной ставкой 15,8%. Поскольку Вы оповестили сотрудников Дилерского центра (ДЦ) о том, что для Вас подходит условие оформления кредита с процентной ставкой 9,9%, сотрудники проинформировали Вас о том, что условием оформления кредита с  данной ставкой является приобретение услуги страхования.Информация об условиях, тарифах, размерах кредита была предоставлена для Вас в полном объеме. При обращении к представителю Банка сотрудник довел до Вашего сведения  о всех параметрах кредита как в устном, так и в письменном виде.Сотрудники предоставили для Вас информацию об указанных заявках на кредит с расчетами, после чего Вами был выбран наиболее интересный для Вас продукт с условием приобретения услуги страхования. Для ознакомления и подписания Вам также были предоставлены Договор страхования и заявление на кредит с указанием наименования и стоимости приобретённых продуктов.Проверка действий сотрудника Банка установила отсутствие при  общении с Вами признаков и методов, которые могут считаться  недобросовестными.Хотим отметить, что Договор страхования был заключен напрямую между Вами и ООО Страховая компания «Сбербанк страхование жизни». Из совокупного толкования положений статей 934, 958 ГК РФ следует, что вопросы расторжения Договора страхования и возврата страховой премии разрешаются между сторонами Договора страхования. Рекомендуем обратиться по данному вопросу к страховщику.Что касается Ваших комментариев,  также хотим  добавить, что мы предоставляем широкий спектр каналов погашения, через которые возможно произвести оплату, в том числе без комиссии и с поступлением платежа день в день. Вы можете ознакомиться с данной информацией на сайте нашего Банка:https://www.cetelem.ru/kak-pogasit-kredit/. Параметры оплаты устанавливаются каналами погашения, в связи с чем Вы можете выбрать наиболее доступный и удобный для Вас способ оплаты.Информация в мобильном приложении и личном кабинете «Мой Банк» обновляется каждый день в период обновления системы. СМС успешно отправляются в рамках установленного Банком порядка. Заказ справок об отсутствии задолженности производится в режиме онлайн на звонке в Контактный Центр Банка. Справку мы можете получить как почтовой корреспонденцией, так и на электронную почту.С информацией о порядке осуществления полного или частичного досрочного погашения задолженности Клиенты могут ознакомиться в Общих Условиях Банка, Глава IV, Раздел 1, пункт 3.12.2.Мы учтем Ваши комментарии при дальнейших оптимизациях наших систем и проверим всю предоставленную Вами информацию.С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2021-10-18 14:45:07,Сетелем Банк,2
Непонятная просрочка,"Здравствуйте.Оформила кредит 08.05.2020 года, выплачивала, не беспокоилась ни о чем. Сейчас необходим еще один кредит, обращалась в банки и шли отказы, не понимала почему, ведь кредитная история не такая уж и плохая должна быть - брала кредиты, выплачивала, банки должны были видеть,  что я надежный плательщик.И тут заказала свою кредитную историю и просто в шоке. Не пойми откуда текущая просрочка так еще и 90+ дней.  Я вообще не понимаю откуда она , т.к. исправно выплачивала кредит.Из-за ошибки банка мне сейчас нужно тратить время и нервы на исправление этого всего.  Просто какая-то непонятная просрочка из ниоткуда, что это вообще такое??",23.09.2021 14:13,irichka1902,Челябинск (Челябинская область),Спасибо за отзыв. Давайте подождем ответ банка.,2021-09-30 11:37:45,Администратор народного рейтинга,2
Проблема с залогом и с процентной ставкой,"Проблема с залогом.Решил приобрести новый автомобиль Renault master.Сумма автомобиля 2470000.Собственных средств 2000000.Отказался от кредита в Рено банке,т.к.являюсь зарплатным клиентом в Сбере.Обратился за кредитом в Сетелем банк,о чем сильно пожалел.Номер договора 0410603****тот 13.07.21.Специалист оформлявшая кредит уточняла марку приобретаемого автомобиля.Советовала лично привезти документы в банк для залога автомобиля а то мало ли что:плохие сканы, не все документы.31.07.21 я посетил отделение банка отдал все документы на автомобиль для оформления залога и успокоился.Звонок из банка :специалист отсканировал не все документы.приехал 07.08.21 перепроверил все документы сто раз приняли залог,что подтвержденно печатями из банка.Спокойно уехал домой.Вечером звонок из банка .мы не можем принять ваш залог т.к. автомобиль не является легковым.ВОПРОС: это ,что, получается: при оформлении кредита уточнялась марка автомобиля,что бы сдать документы для залога приезжал 2 раза в банк.Работа не компетентных сотрудников не моя вина.Прошу решить вопрос залогом данного автомобиля, оставить процентную ставку10.892%годовых,так как в договоре купли-продаже и в эптс данный автомобиль легковой универсал,масса не более 3,5тонн и относиться к категории В.",11.08.2021 21:26,21031975,Москва,"Добрый день.13.07.2021 Вами был оформлен Договор о предоставлении целевого потребительского кредита на приобретение автотранспортного средства. В соответствии с п. 17 Индивидуальных условий Договора Вам необходимо было в течение 30 календарных дней с даты заключения Договора направить в Банк через форму обратной связи на сайте Банка пакет документов о приобретенном автотранспортном средстве: ПТС/выписка из ЭПТС, СТС, договор купли-продажи. При оформлении кредита, а также в условиях Договора указаны требования к залогу. Консультации сотрудников Банка соответствовали требованиям и были проведены корректным образом.31.07.2021 Вы предоставили в Банк ПТС для регистрации.07.08.2021 Вы предоставили документы для рассмотрения, и по результату проверки было выяснено, что приобретенное Вами автотранспортное средства является малотоннажным грузовым фургоном, документы не были приняты Банком.Поскольку документы не были приняты, Банком, в соответствии с п.4 Индивидуальных условий Договора, была повышена процентная ставка с 18.08.2021 года до значения 19.9%.Рассмотрев Ваш вопрос, Банк, придерживаясь принципов клиентоориентированной политики и заботы о клиентах, принят решение принять предоставленные Вами документы и зарегистрировать их. Сообщаем, что процентная ставка по Договору будет снижена с 18.09.2021 года. Кроме того, Банком было принято решение о возврате излишне уплаченных Вами процентов. В ближайшее время средства будут зачислены на Ваш счет.Надеемся, что нам удалось помочь в решении Вашего вопроса.С уважением,Управление клиентского сервиса""Сетелем Банк"" ООО",2021-08-30 11:35:22,Сетелем Банк,2
Бардак со счетами одного клиента,"Добрый день.Пользовались автокредитом с конца 19 года, оплачивали все было хорошо - вопросов не было. Вопросов не было до того момента как не оформили ещё один автокредит в июне 2021. И вот настала дата оплаты по первому кредиту (договор от 21.10.2019) - 06.07.2021 как обычно перевели деньги по номеру телефона из Сбербанка.  НО 07.07.2021 (в день погашения) увидели, что деньги зачислились на счёт второго кредита (договор от 19.06.2021).Пытались в личном кабинете произвести перевод между своими счетами, бестолку. Позвонили на горячую линию, там подсказали обратиться в отделение банка и написать заявление что и было сделано сразу же. В отделении банка 07.07.2021 было сказано что в этот же день зачислят деньги на нужный счёт, но увы уже образовалась просрочка.Очень скупое приложение, в котором нет возможности перевести деньги с одного своего счёта на другой свой же счёт. В отделении банка ни какого документа по принятому заявлению не выдали.",08.07.2021 08:19,Guly87,Уфа (Республика Башкортостан),"Добрый день.На основании Вашего обращения Банком была проведена проверка, в результате которой было установлено, что между Вами и Банком не заключалось каких-либо договоров (соглашений).Договор оформлен на иное лицо.В соответствии со ст. 857 Гражданского кодекса Российской Федерации, ст. 26 Федерального закона № 395-1 от 02.12.1990 года «О банках и банковской деятельности», Банк гарантирует тайну банковского счета и банковского вклада, а также сведений об операциях по счету и иных сведениях о клиенте. Такие сведения могут быть предоставлены только самим клиентам либо их представителям, а также государственным органам в случаях и порядке, установленных законом.Принимая во внимание, что в настоящее время у Банка отсутствуют документы, подтверждающие Ваши полномочия на представление интересов Клиента Банка, Банк не вправе предоставлять Вам какую-либо информацию по существу Вашего обращения.Дополнительно сообщает, что зачисление денежных средств в Банк производится по реквизитам, указанным при переводе, т.е. зачисляются на тот счет, который Клиент указывает при оплате.07.07.2021 с Клиентом неоднократно пытались связаться сотрудники Банка по телефону, указанному в системе Банка, для подтверждения запрошенной операции, однако дозвониться не удалось.Клиенту необходимо самостоятельно обратиться в Контактный Центр Банка по телефону для подтверждения перевода.С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2021-07-08 10:12:29,Сетелем Банк,2
Просто плохой банк,"Оформлял автокредит через данный банк. Пришло время первого платежа. Попытался зайти через онлайн банк - система выдает ""некорректно введенные данные"".Служба поддержки очень медленная и дождаться оператора нужно долго нажимать ""9"" периодически выслушивать одну и ту же информацию о том что короновирус и звонки обслуживаются долго - хотя какая связь? В общем дозванивался долго.По итогу - номер в их системе у меня другой,  его озвучили и это был совершенно чужой номер. В результате по причине неродивых сотрудников мне нужно потратить свое личное время для прихода в офис и регистрации своего номера опять.Ребят, ругаться не буду - это просто возмутительно.P.S. Оператор в кол-центре пыталась уверить меня что это я неправильно написал им номер. Я уж было поверил что где то ошибся в цифре. Но нет, номер совершенно незнакомый.",06.07.2021 16:22,v*******@yandex.ru,Москва,"Добрый день.Сожалеем о сложившейся ситуации, в настоящее время данные в системе Банка актуализированы. Для информирования с Вами связался сотрудник Банка по телефону.Что касается Вашего замечания относительности трудности соединения с оператором, то акцентируем Ваше внимание на то, что благодаря услугам нашего Банка, в частности автоматизированной системы, личного кабинета и мобильного приложения, Вы можете получать информацию по Вашему Договору в любое удобное для время, без ожидания в очереди на линии. Мы стараемся оперативно оптимизировать и расширять функционал указанных систем для Вас.Дополнительно хотим отметить, что в личном кабинете «Мой Банк» мы также разместили ответ на Ваше обращение, просим Вас с ним ознакомиться.С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2021-07-07 13:46:13,Сетелем Банк,2
Сайт и приложение не работают уже 5 часов,"С 5 утра и до текущего момента (10:00) не получается зайти в приложение, сайт тоже не работает. Никаких смс и сообщений на почту не было. Для крупного банка это не серьёзно.  На горячий номер тоже не дозвониться. Хотя бы заглушку какую на сайт повесили, например ""ведутся технические работы, приносим извинения"" и т.д.",16.06.2021 10:04,v*******@yandex.ru,Москва,н/д,н/д,н/д,2
Залог после погашения кредита,"В 2017 году с Сетелем Банком был заключен кредитныйдоговор, кредит был быстро погашен, Банком направлено уведомление о залоге транспортного средства, причем сделано это после погашения кредита, это выяснилось через 3 года при продаже автомобиля, из-за чего возникли проблемы. Уже неделю банк не может решить этот вопрос.",01.06.2021 09:01,iridei,Москва,н/д,н/д,н/д,2
Навязывание услуг,"Оформлял автокредит в данном банке при покупке автомобисля в автосалоне ""И****"" в Петербурге.При оформлении представитель банка безальтернативно заставляет подписать договор страхования GAP, договор страхования ДМС, также навязывается некая ""программа защиты ценных вещей"".Фактически представитель банка не просто в буквальном смысле заставляет подписать эти договоры, на все возражения отвечая ""Кредит одобрен на таких условиях"", в самом договоре также буквально заставляет подписать согласие на получение рекламы.Представиться  отказывается (Ф.И.О. удаётся выяснить только из подсовываемых договоров), на возражения о том, что услуги фактически навязываются, начинает хамить, при попытке достать телефон и просьбе повторить под запись на видео, что указанные услуги обязательны для оформления кредитного договора вообще пытается отобрать телефон. В целом поведение представителя банка не просто оставило неприятное впечатление, а до боли напомнило 90-е годы и вещевые рынки.Не знаю, политика ли это банка или личные качества представителя, но их представителя в петербургском автосалоне ""И****"" всем советую обходить десятой дорогой.",06.05.2021 16:52,Portsel,Санкт-Петербург,Спасибо за отзыв. Давайте подождём окончательного ответа банка по ситуации.,2021-05-11 20:05:20,Администратор народного рейтинга,2
Банк обманщиков!,"Здравствуйте.Я В-ян Товмас 30.06.2020 года взял автокредит в СЕТЕЛЕМ БАНКЕ , там мне навязали страховку сумма которой составляет 74100, я на нее согласия не давал, сотрудник уверяла ,что без этого не одобрили бы кредит и что я могу отказаться от нее в любой момент.Я все равно был против! но она решила за меня. В итоге я уже год бегаю от одного места в другое! Что за издевательство над людьми! Верните незаконно СПИСАННЫЕ средства на мой счет ! Иначе буду подавать заявление в органы прокуратуры. Для меня это огромная сумма, я не должен платить за обман ваших не компетентных сотрудников. Надеюсь, что будут все средства возвращены на счет!",06.05.2021 12:25,mikusa.131190,Ставрополь (Ставропольский край),"Добрый день.Все услуги оказываются Банком исключительно в соответствии со свободным волеизъявлением клиентов в соответствии со ст. 421 ГК РФ. Банк придерживается политики информирования Клиентов по всем вопросам, связанным с оформлением Договора. При оформлении кредита уведомление Клиентов производится в рамках нескольких этапов, таким образом Клиенты уведомлены о всех параметрах кредита как в устном , так и в письменном виде.В июне 2020 года Вы оформили в Банке кредит. При оформлении кредита Вам было предложено приобретение услуги личного страхования при посредничестве ООО «ГК СБСВ-Ключавто», являющегося страховым агентом/брокером САО «ВСК». Поскольку от Вас было получено согласие, услуга была подключена.Кроме того, сотрудник Банка довел до Вашего сведения информацию о приобретаемом продукте.Вами были подписаны заявление на кредит с указанием информации о добровольности дополнительных услуг, а также заявление на перечисление денежных средств, в котором Вы подтвердили намерение оплатить указанные услуги за счет кредитных средств.После устного ознакомления и подписания документов был оформлен Договор с Банком.Таким образом, проявления некомпетентности со стороны Банка выявлено не было.С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2021-05-11 12:09:32,Сетелем Банк,2
Предоставление автокредита по госпрограмме,"30.04.2021 подал заявку на авто кредит с госпрограммой. По результатам заявки в тот же день пришло одобрение. В заявке была выбрана услуга страхование жизни на сумму около 30 тыс. руб. за весь срок (2 года). Также в описании об одобрении заявки было указано, что я могу выбрать автосалон для получения кредита сообщив менеджеру банка в автосалоне код-номер заявки, и тем самым передав заявку в конкретный автосалон. На следующий день позвонила менеджер банка одного из автосалонов, который я посетил до подачи самоц заявки и сообщила, что она уже перетащила заявку в её автосалон. Т.е. по факту не оставив мне шанса на выбор автосалона.При дальнейшем общении по телефону мне было сообщено, что кредит может быть мне выдан только при условии предоставления дополнительных услуг в виде смс оповещения и страховки. Общая сумма дополнительных услуг не только перекрывала всю выгоду от госпрограммы (около 90 тыс.руб.), но и дополнительно навязывала мне страховые услуги на сумму около 150тыс.руб. (надо отметить, что при этом действовала скидка на сам автомобиль в размере 40 тыс. руб.)Прошу разъяснить 1) каким образом менеджер банка в автосалоне могла перетянуть на себя заявку без моего согласия, 2) Согласно закону о защите прав потребителя покупатель вправе отказаться от навязывания дополнительных услуг (смс оповещение и допб страхование), а согласно гражданскому кодексу обязанность страховать жизнь и здоровье не может быть возложена на гражданина. Оасчет кредита без предоставления доп. услуг предоставлен не был, более того была пркдоставлена информация о том, что от данных учлуг при оыормлении кредита отказаться невозможно. В связи с этим возникают вопросы к менеджеру указанного банка в автосалоне.",04.05.2021 21:55,MrHog,Москва,"Добрый день.В полном соответствии со ст. 421 ГК РФ, все услуги оказываются Банком исключительно в соответствии со свободным волеизъявлением клиентов. Условия Договора предусматривают возможность выбора дополнительных услуг, в том числе услуг по страхованию. Банк придерживается политики информирования Клиентов по всем вопросам, связанным с оформлением Договора.После получения Вашей заявки на кредит, поданной в Сбербанк онлайн, сотрудник Банка связался с Вами для получения дополнительной информации. Кроме того, Вам было отправлено смс на Ваш номер телефона с указанием информации о том, где Вы можете ознакомиться со списком Дилерских центров.На указанном звонке сотрудник Банка уточнил у Вас условия Вашей заявки, город, в котором Вы планируете приобретение автомобиля, марку и модель автомобиля. После получения от Вас данных сведений сотрудник предложил передать сведения о Вашем намерении оформить кредит в Дилерский центр «Техинком» (ДЦ), по причине предоставления данным ДЦ бонусов и скидок при покупке автомобиля, и оставить заявку от Вашего имени для дальнейшего звонка из ДЦ. Поскольку Вы дали свое согласие, что подтверждается записью телефонного разговора, заявка была зафиксирована.Сотрудник не информировал Вас о том, что у Вас имеется возможность выбрать только один - озвученный ДЦ.Мы запросили информацию у наших коллег, и насколько нам стало известно, далее с Вами связывался представитель ДЦ и озвучил для Вас предложение по приобретение Автомобиля, а также приобретение дополнительных услуг, предоставляемых ДЦ. В случае Вашего несогласия с данными условиями, Вам необходимо обратиться в ДЦ для обсуждения параметров покупки автомобиля. После согласования между Вами и ДЦ параметров далее с сотрудником Банка будет оформлен Договор. До его подписания Вам для ознакомления будет предоставлена документация.Таким образом, некомпетентности со стороны сотрудников Банка не зафиксировано.С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2021-05-11 12:53:56,Сетелем Банк,2
Обращения игнорируются,"Это мой второй автокредит взятый в данном банке. С первым проблем не было вообще, поэтому второй решил взять в этом же банке. И в этот раз проблемы возникли...Банк требует в течении первых 21 дня передать выписку из ЭПТС или копию СТС, рекомендуя при этом использовать обращения на сайте. Номер первого обращения я, к сожалению, не догадался записать, так как рассчитывал получить уведомление на почту или телефон. Получил только уведомление, что мне начислен штраф через неделю за непредоставленные вовремя документы. Попытался отправить документы еще раз, уже сфотографировав экран, в этот раз получив уведомление с номером на почту.Но прошла еще неделя, а в ответ тишина. Хотя срок обработки таких обращений равен 3 дням. Отправил и еще одно обращение, с описанием ситуации. Может хоть на него отреагируют... Но желание перевести кредит в другой банк все сильнее.",27.04.2021 20:01,Maiinar,Санкт-Петербург,"Добрый день.В соответствии с п. 12 условий договора за Вами, действительно, закреплено обязательство по передаче в Банк копии СТС или выписки из электронного ПТС(ЭПТС) в течение 21 дня со дня оформления Договора. При неисполнении данного условия Банк вправе применить последствия, предусмотренные договором, а именно начислить неустойку.Хотим отметить, что при отправке обращения через сайт Банка каждому обращению присваивается номер, который появляется всплывающим окном при отправке , а также на электронную почту, указанную при формировании обращения, направляется письмо о его создании с присвоением номера.Проведя проверку, мы не обнаружили направленного Вами запроса с целью предоставления СТС /ЭПТС в установленные сроки.В настоящий момент документы поступили и были зарегистрированы. Ваше обращение, направленное через сайт Банка, не осталось без внимание, оно находилось в работе уполномоченного отдела.Комплексно рассмотрев Ваш вопрос, в рамках проявления клиентоориентированной политики было принято решение не применять неустойку. Дополнительно с Вами связался сотрудник Банка по телефону!Надеемся, что нам удалось помочь Вам в решении вопроса, хорошего Вам дня!С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2021-04-28 12:33:18,Сетелем Банк,2
Банку на вас просто плевать,"Брали автокредит в феврале этого года. В автосалоне нас убедили, что пополнение через приложение банка с карты Сбера без комиссии, на мои доводы:""но на сайте написано, что платно"", ответ:""нет! Те, кто считают, что платно, просто неправильно делают, нужно именно через приложение сетелема,  тогда будет бесплатно"". По факту:информация на сайте Сетелема верна-бесплатно только если автоплатеж Сбербанка, ну и СБП (с его лимитами), и Элекстнет.  Офис в мск только один,  карт своих они не дают. Это крайне неудобно так выкручиваться, чтобы пополнить счёт.При подписании договора выяснилось, что частично гасить можно в течение первых 21 дней хоть каждый день, а потом только предупреждая за 30 дней. Издевательство какое-то. Плюс, оказывается, они навязывают оплату услуг за смс-оповещения за весь период страхования (за 5 лет наперёд надо оплатить почти 5 тыс ), отказаться при подписании договора нельзя-только позвонить в банк позже и отменить. Дозвониться в банк мы не смогли: ждали долго соединения,  а нас спросили. И так несколько раз. Написали обращение через приложение, вопрос решили. Но естественно за первый месяц никто не вернёт деньги)следующий нюанс: обработка всех платежей происходит после 10 вечера,  и как показала практика, не всегда успешно. В течение этих первых 21 дней я, понимая, что за 30 дней предупреждать каждый раз банк я сойду с ума, гасила частично досрочно максимально кредит.В очередной раз заказав часто досрочное погашение, операция не обработалась. Через пару дней звонят мне с вопросом:видим Вашу заявку, она актуальна? Я говорю, что да. Мне:""у нас она слетела в системе, но мы ее видим, можем вам оформить заново только на завтра "" . Я понимаю, что сумма кредита у меня большая и за каждый лишний день с меня спишут процент за пользование средствами . Спрашиваю:""а почему у вас слетела заявка?"" ,-"" технический сбой"",-""а почему я должна платить за Ваш технический сбой?"",-""ну Вы можете написать претензию"". Ок, переоформили заявку с потерей нескольких дней, претензию я написала.  В ответ на нее мне сообщили, что все здорово, решение в мою пользу, излишне уплаченные проценты будут возвращены В БЛИЖАЙШЕЕ ВРЕМЯ (Это было 04.03.21 :) ).Прошёл месяц, денег на счету не прибавилось. Пишу в поддержку с уточнением, какие пределы у ближайшего времени, когда ждать денег? Мне приходит шаблонный ответ о том, что моё обращение на рассмотрении, деньги вернут в ближайшее время (!). Проходит ещё две недели,  я пишу претензию повторно с просьбой поставить чёткие сроки возврата и, собственно, осуществить его. Ответ пришёл, что моё обращение направлено в профильный отдел.  И опять тишина.Абсолютное хамство,  я уже мечтаю закрыть кредит в этом банке досрочно и полностью, заняв деньги в другом месте, но забыть Сетелем как страшный сон.  По какой причине банк так нагло себя ведет,  я не понимаю,  ставки у него не то, чтобы самые низкие по Москве.",22.04.2021 23:41,Tancha-cha,Москва,"Спасибо за отзыв. Давайте подождём окончательного ответа банка по ситуации.06.05.2021 Учитывая дополнения автора, оценку засчитываем.",2021-04-27 12:59:22,Администратор народного рейтинга,2
